Memory_ghz_max,Memory_usage_max,state,vibrate,vibrateState
121930,0.052949,-2,0.008347655,3
121850,0.053391,-2,0.007810305,2
121790,0.053808,-2,0.001300922,0
121750,0.053878,-2,0.009020379,3
121730,0.054364,-2,0.006640424,2
121680,0.054725,-2,0.00740064,2
121640,0.05513,-2,0.021766733,4
121560,0.05633,-2,0.084093733,4
121320,0.061067,-2,0.028395042,4
120790,0.062801,-2,0.001305712,0
120580,0.062883,-2,0.000174928,0
120580,0.062894,-2,0.000461093,0
120590,0.062923,-2,-0.001875308,0
120580,0.062805,-2,-0.000143301,0
120600,0.062796,-2,-0.000429964,0
120610,0.062769,-2,-0.00189584,0
120610,0.06265,-2,-0.000861931,0
120620,0.062596,-2,-0.002204614,0
120630,0.062458,-2,-0.000368247,0
120640,0.062435,-2,-0.002386482,0
120660,0.062286,-2,-0.002119256,0
120680,0.062154,-2,-0.001995045,0
120680,0.06203,-2,0.003449944,1
121090,0.062244,-2,0.007422402,2
120660,0.062706,-2,0.003077855,1
120610,0.062899,-2,0.000906215,0
121090,0.062956,-2,-0.06029608,-4
121110,0.05916,-2,0.001741041,0
121100,0.059263,-2,0.011778007,4
121120,0.059961,-2,0.00040026,0
120960,0.059985,-2,-0.002100525,0
120970,0.059859,-2,-0.001119297,0
120970,0.059792,-2,-0.000702435,0
120990,0.05975,-2,-0.001271967,0
121000,0.059674,-2,-0.002312565,0
121010,0.059536,-2,-0.001410911,0
121030,0.059452,-2,0.000420507,0
121030,0.059477,-2,-0.002622863,0
121040,0.059321,-2,-0.001618314,0
121070,0.059225,-2,-0.001317011,0
121070,0.059147,-2,0.000743909,0
121060,0.059191,-2,-0.000743356,0
121070,0.059147,-2,-0.000524118,0
121070,0.059116,-2,-0.000253738,0
121100,0.059101,-2,-0.005583662,-2
121110,0.058771,-2,-0.000442395,0
121120,0.058745,-2,-0.001463954,0
121130,0.058659,-2,-0.001295624,0
121130,0.058583,-2,-0.000990048,0
121140,0.058525,-2,-0.002067493,0
121150,0.058404,-2,-0.001112937,0
121170,0.058339,-2,-0.000462812,0
121170,0.058312,-2,-0.001989299,0
121180,0.058196,-2,-0.001563681,0
121190,0.058105,-2,-0.000963772,0
121200,0.058049,-2,-0.000689073,0
121200,0.058009,-2,-0.000586116,0
121210,0.057975,-2,-5.17E-05,0
121220,0.057972,-2,0,0
121220,0.057972,-2,-0.002742703,-1
121230,0.057813,-2,-0.001228097,0
121240,0.057742,-2,-0.000571508,0
121240,0.057709,-2,-3.47E-05,0
121240,0.057707,-2,-0.000623841,0
121250,0.057671,-2,0.07201193,4
121250,0.061824,-2,0.000760223,0
120710,0.061871,-2,-0.000226277,0
120710,0.061857,-2,-0.000226328,0
120710,0.061843,-2,-0.00025872,0
120720,0.061827,-2,0.001730635,0
120720,0.061934,-2,0.001808377,0
120690,0.062046,-2,0.00011282,0
121210,0.062053,-2,-0.001547065,0
120690,0.061957,-2,1.61E-05,0
120690,0.061958,-2,0.000242099,0
120690,0.061973,-2,-4.84E-05,0
120700,0.06197,-2,-4.84E-05,0
120690,0.061967,-2,0.002549744,0
120690,0.062125,-2,0.000305835,0
120670,0.062144,-2,-0.000160917,0
120670,0.062134,-2,-0.000627676,0
120670,0.062095,-2,-0.000450922,0
120680,0.062067,-2,6.44E-05,0
120680,0.062071,-2,-0.000934414,0
120690,0.062013,-2,-0.00048377,0
120690,0.061983,-2,-0.000822806,0
120700,0.061932,-2,-0.000775044,0
120990,0.061884,-2,0.000646371,0
120710,0.061924,-2,-0.00164718,0
120710,0.061822,-2,-0.000614668,0
120720,0.061784,-2,-0.000437006,0
120720,0.061757,-2,-0.00071247,0
120720,0.061713,-2,-0.000858814,0
120730,0.06166,-2,-0.000762245,0
120730,0.061613,-2,-0.000146073,0
120740,0.061604,-2,-0.000422051,0
120740,0.061578,-2,-0.00073078,0
120750,0.061533,-2,-0.000211269,0
120750,0.06152,-2,-0.000243823,0
120750,0.061505,-2,-0.000113812,0
120750,0.061498,-2,-9.76E-05,0
120750,0.061492,-2,0.000146361,0
121130,0.061501,-2,0.001024374,0
120820,0.061564,-2,-0.001137028,0
120750,0.061494,-2,0.000894396,0
120750,0.061549,-2,-0.001072316,0
120760,0.061483,-2,-0.001252379,0
120760,0.061406,-2,-0.000162851,0
120760,0.061396,-2,-0.000390905,0
120770,0.061372,-2,-0.001303526,0
120780,0.061292,-2,-0.00045683,0
120790,0.061264,-2,-0.001077305,0
120790,0.061198,-2,-0.000294127,0
120790,0.06118,-2,0.011131089,4
120780,0.061861,-2,0.007581513,2
120730,0.06233,-2,6.42E-05,0
120650,0.062334,-2,-0.001508005,0
120650,0.06224,-2,0.001478149,0
120930,0.062332,-2,-0.000994674,0
120660,0.06227,-2,-8.03E-05,0
120660,0.062265,-2,-0.000658476,0
120660,0.062224,-2,-0.000241065,0
120660,0.062209,-2,1.61E-05,0
120660,0.06221,-2,-4.82E-05,0
120660,0.062207,-2,-0.000546562,0
120670,0.062173,-2,8.04E-05,0
120670,0.062178,-2,-0.000723729,0
120670,0.062133,-2,0.001046143,0
120670,0.062198,-2,0.001221904,0
120670,0.062274,-2,-0.002296303,0
120670,0.062131,-2,6.44E-05,0
120670,0.062135,-2,-0.000531102,0
120670,0.062102,-2,0.003220508,1
121150,0.062302,-2,-0.001284068,0
120660,0.062222,-2,-0.000900003,0
120660,0.062166,-2,-0.000209118,0
120670,0.062153,-2,0,0
120670,0.062153,-2,-0.000627484,0
120670,0.062114,-2,4.83E-05,0
120680,0.062117,-2,0.03010448,4
120680,0.063987,-2,0.122431119,4
120110,0.071821,-2,-0.009579371,-4
120680,0.071133,-2,-0.12794343,-4
120680,0.062032,-2,0.000499742,0
120680,0.062063,-2,4.83E-05,0
120680,0.062066,-2,-0.000161119,0
120680,0.062056,-2,-0.000370633,0
120680,0.062033,-2,0.001241275,0
121150,0.06211,-2,0.000161005,0
120680,0.06212,-2,0.000643915,0
120680,0.06216,-2,-0.0002574,0
120670,0.062144,-2,1.61E-05,0
120670,0.062145,-2,-0.000209188,0
120670,0.062132,-2,9.66E-05,0
120670,0.062138,-2,-0.000740288,0
120680,0.062092,-2,-0.000289892,0
120680,0.062074,-2,-8.05E-05,0
120690,0.062069,-2,-0.00029,0
120690,0.062051,-2,0.000564052,0
120670,0.062086,-2,-0.000225494,0
120680,0.062072,-2,0.004172574,1
120680,0.062331,-2,-0.000352954,0
120650,0.062309,-2,0.000465422,0
120990,0.062338,-2,0.000641663,0
120640,0.062378,-2,-0.000416814,0
120640,0.062352,-2,-0.000609443,0
120650,0.062314,-2,1.60E-05,0
120650,0.062315,-2,-0.000497473,0
120650,0.062284,-2,0.000369276,0
120650,0.062307,-2,-0.000529636,0
120650,0.062274,-2,-8.03E-05,0
120650,0.062269,-2,0.001654114,0
120650,0.062372,-2,0.005338934,1
120620,0.062705,-2,0.000526274,0
120590,0.062738,-2,4.78E-05,0
120590,0.062741,-2,0,0
120590,0.062741,-2,0.00371368,1
120580,0.062974,-2,0.000301712,0
120560,0.062993,-2,0.000111123,0
120890,0.063,-2,-0.00031746,0
120560,0.06298,-2,0.001651318,0
120560,0.063084,-2,-0.000206074,0
120550,0.063071,-2,0.000285393,0
120540,0.063089,-2,-4.76E-05,0
120550,0.063086,-2,0.000332879,0
120550,0.063107,-2,-0.00064969,0
120550,0.063066,-2,0.000237846,0
120560,0.063081,-2,-0.000824337,0
120560,0.063029,-2,0.001745228,0
120550,0.063139,-2,-0.000142543,0
120540,0.06313,-2,0,0
120540,0.06313,-2,0.000396008,0
120540,0.063155,-2,7.92E-05,0
120540,0.06316,-2,0.004528182,1
120940,0.063446,-2,-0.000472843,0
120510,0.063416,-2,0.000394222,0
120510,0.063441,-2,-0.000725083,0
120510,0.063395,-2,0.000331256,0
120510,0.063416,-2,0.001040747,0
120500,0.063482,-2,0.000283545,0
120500,0.0635,-2,-0.000188976,0
120500,0.063488,-2,3.15E-05,0
120500,0.06349,-2,-0.000330761,0
120500,0.063469,-2,0.001134412,0
120500,0.063541,-2,4.72E-05,0
120490,0.063544,-2,-4.72E-05,0
120490,0.063541,-2,-4.72E-05,0
120490,0.063538,-2,0.00011017,0
120490,0.063545,-2,0.000802581,0
120920,0.063596,-2,-0.000487452,0
120480,0.063565,-2,0.001054039,0
120480,0.063632,-2,-0.000251446,0
120480,0.063616,-2,0.00022007,0
120480,0.06363,-2,-0.000235738,0
120480,0.063615,-2,-9.43E-05,0
120480,0.063609,-2,-0.000817494,0
120480,0.063557,-2,6.29E-05,0
120500,0.063561,-2,-0.001589025,0
120500,0.06346,-2,0.002741885,0
120500,0.063634,-2,0.001241475,0
120470,0.063713,-2,0.000517948,0
120460,0.063746,-2,0.000611803,0
120460,0.063785,-2,0.000219487,0
120460,0.063799,-2,0.003103497,1
120890,0.063997,-2,-0.000140632,0
120430,0.063988,-2,0.001547165,0
120440,0.064087,-2,-0.000827001,0
120420,0.064034,-2,0.000265484,0
120420,0.064051,-2,1.56E-05,0
120420,0.064052,-2,-0.000359083,0
120430,0.064029,-2,-0.000327976,0
120430,0.064008,-2,7.81E-05,0
120430,0.064013,-2,-0.000640495,0
120430,0.063972,-2,0.000500219,0
120430,0.064004,-2,0.000937441,0
120420,0.064064,-2,0.000218531,0
120420,0.064078,-2,-0.00023409,0
120420,0.064063,-2,-0.000359022,0
120420,0.06404,-2,-0.000608994,0
120880,0.064001,-2,0.001703098,0
120440,0.06411,-2,0.000358758,0
120410,0.064133,-2,4.68E-05,0
120410,0.064136,-2,0.000343021,0
120410,0.064158,-2,0.000857259,0
120400,0.064213,-2,-0.000700793,0
120410,0.064168,-2,-0.000311682,0
120410,0.064148,-2,-9.35E-05,0
120410,0.064142,-2,0.00115369,0
120410,0.064216,-2,0.000358166,0
120400,0.064239,-2,0.000825044,0
120390,0.064292,-2,0.000699932,0
120390,0.064337,-2,0.000652813,0
120380,0.064379,-2,0.000232995,0
120380,0.064394,-2,0.000403764,0
120380,0.06442,-2,0.001428128,0
120820,0.064512,-2,0.000558036,0
120360,0.064548,-2,0.000495755,0
120380,0.06458,-2,-0.00235367,0
120380,0.064428,-2,0.000201776,0
120380,0.064441,-2,0.000201735,0
120370,0.064454,-2,0.000930896,0
120370,0.064514,-2,0.00483616,1
120350,0.064826,-2,0.00644803,2
120300,0.065244,-2,0.000582429,0
